"","X","Y","Tree_loss","Pop_densit","Dist_sett","Slope","Elevation","Annual_Rai","Dist_track","Dist_road","Dist_river","Dist_edge","Dist_defor","treated"
"116",900255,7962165,0,0.0989316180348,2928.65161133,19.7805690765,792,1894,2210.45239258,14984.5419922,3172.77490234,272,534.13482666,1
"117",900405,7962165,0,0.0954115241766,2949.32202148,16.6015491486,797,1894,2195.13085938,14978.6845703,3078.47363281,277,456.946380615,1
"118",900555,7962165,0,0.0919704288244,2977.41503906,17.2506923676,794,1867,2190,14974.328125,2988.72875977,342,421.070068359,1
"119",900705,7962165,0,0.0876366496086,3012.72290039,14.4919509888,823,1867,2190,14971.4726563,2903.96289063,430,429.534637451,1
"120",900855,7962165,0,0.0862545669079,2991.73852539,10.9249105453,852,1867,2190,14970.1201172,2824.6237793,484,483.735473633,1
"121",901005,7962165,0,0.0816142335534,2954.65722656,12.9424085617,879,1867,2190,14970.0302734,2751.18164063,573,573.149169922,1
"122",901155,7962165,0,0.0813239961863,2924.80761719,19.7339630127,908,1867,2190,14971.0820313,2684.11987305,684,684.105224609,1
"123",901305,7962165,0,0.0758084654808,2902.4128418,10.5553808212,935,1867,2191.84863281,14973.6367188,2623.9284668,808,807.774719238,1
"124",901455,7962165,0,0.0740503370762,2887.64599609,5.95158433914,948,1867,2203.11132813,14977.6933594,2571.08935547,939,939.14855957,1
"125",901605,7962165,0,0.0834211111069,2880.625,13.5976524353,917,1859,2224.45507813,14983.2509766,2526.06420898,997,1075.40686035,1
"126",901755,7962165,0,0.0847362428904,2881.40600586,17.189201355,896,1859,2255.59301758,14990.3066406,2489.27709961,953,1214.90734863,1
"127",901905,7962165,0,0.0890487805009,2889.98266602,23.3919315338,878,1859,2296.12719727,14998.8603516,2461.09741211,932,1106.34533691,1
"128",902055,7962165,0,0.0898407846689,2906.28637695,18.4483718872,882,1859,2345.5703125,15008.9072266,2441.82299805,930,997.24621582,1
"129",902205,7962165,0,0.0931302905083,2930.18774414,21.8442268372,849,1859,2403.37255859,15020.4462891,2431.66601563,858,900,1
"130",902355,7962165,0,0.0925164669752,2903.03295898,10.39935112,830,1859,2468.76489258,15033.4726563,2430.74072266,778,818.840637207,1
"131",902505,7962165,0,0.0917616188526,2760.81518555,31.7748832703,879,1888,2537.97167969,15047.9833984,2439.05712891,721,758.946655273,1
"132",902655,7962165,0,0.0903827995062,2619.46557617,13.0854043961,914,1888,2613.96240234,15063.9736328,2456.52197266,693,721.248901367,1
"133",902805,7962165,0,0.0936066061258,2479.1328125,17.4824733734,892,1888,2690.81762695,15081.4384766,2482.94189453,589,618.465820313,1
"134",895905,7962015,0,0.176263779402,4272.76269531,32.025970459,618,2028,906.972961426,15423.1806641,1230,644,751.797851563,1
"135",896055,7962015,0,0.160037487745,4263.80126953,27.4766597748,687,2028,1034.4564209,15400.84375,1380,780,886.397216797,1
"136",896205,7962015,0,0.135757520795,4260.10546875,12.2645177841,736,1901,1167.30456543,15379.9384766,1530,912,1025.28039551,1
