"","coef","se","unmatched","mean_std_diff","max_std_diff","parralel_trend","Pop_density","Dist_sett","Annual_Rain","Dist_track","Dist_river","cal025","cal05","cal1","replacement","maha","glm","rf","ratio1","ratio5","ratio10"
"47",-3.16866531698309,0.469305574263885,0,0.0307649834839466,0.0590597353450322,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
"48",-3.09793475957389,0.475910654834491,0,0.045440228804495,0.0829706425910155,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
"49",-3.13013979146936,0.500589614252329,0,0.0764313764880188,0.166600068805132,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
"50",-3.08388304808982,0.462416185362156,0,0.078433010537366,0.160136077778671,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
"51",-3.09603734201631,0.461050722687323,0,0.0848064277341193,0.163704417405912,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
"52",-3.21736251243487,0.528621550024881,0,0.243650424444391,0.641410378651416,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"53",-3.00167246080253,0.483118989816886,0,0.328645059420725,1.03473098085568,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
"54",-3.01351354189148,0.477752802896452,0,0.352506527714601,1.15707359444684,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
"55",-3.65718411806041,0.575192599129521,0,0.0441854109094243,0.0985040990033402,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
"56",-3.09987450172643,0.464778356567374,0,0.0445640189596827,0.126937121548632,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
"57",-3.29165942372024,0.49126197873459,0,0.162073953447966,0.541678320982058,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
